IDNUMBER,Hospital,Facility name,Address,Town,ZIP code,CHIA region,Type of hospital,Hospital system,Telephone,Facility type,norm_address,norm_name,Nursing homes within 30 minutes drive time,Hospitals within 30 minutes drive time,geometry
,,Oak Knoll Healthcare Center,9 Arbetter Drive,Framingham,1701,Metro West,,,,Nursing home,9 arbetter drive,oak knoll healthcare center,,6.0,POINT (-71.423495 42.338304)
,,Agawam South Rehab and Nursing,65 Cooper Street,Agawam,1001,Western Massachusetts,,,,Nursing home,65 cooper street,agawam south rehab and nursing,,5.0,POINT (-72.62045515660407 42.07895845)
,,Seven Hills Pediatric Center,22 Hillside Avenue,Groton,1450,Northeastern Massachusetts,,,,Nursing home,22 hillside avenue,seven hills pediatric center,,3.0,POINT (-71.5798529093222 42.61232115)
,,Brentwood Rehabilitation and Healthcare Center,56 Liberty Street,Danvers,1923,Northeastern Massachusetts,,,,Nursing home,56 liberty street,brentwood rehabilitation and healthcare center,,9.0,POINT (-70.9210216494721 42.563351999999995)
,,Royal Braintree Nursing & Rehabilitation Center,95 Commercial Street,Braintree,2184,Metro South,,,,Nursing home,95 commercial street,royal braintree nursing  rehabilitation center,,13.0,POINT (-70.97097247044559 42.22110375)
,,Champion Rehabilitation and Nursing Center,2 Beaumont Avenue,Brockton,2302,Metro South,,,,Nursing home,2 beaumont avenue,champion rehabilitation and nursing center,,4.0,POINT (-70.98856021035954 42.0835203)
,,Life Care Center of the North Shore,111 Birch Street,Lynn,1902,Northeastern Massachusetts,,,,Nursing home,111 birch street,life care center of the north shore,,5.0,POINT (-70.93458444045801 42.47859105)
,,Fall River Healthcare,1748 Highland Avenue,Fall River,2720,Southcoast,,,,Nursing home,1748 highland avenue,fall river healthcare,,4.0,POINT (-71.13606963451934 41.727794450000005)
,,Kimwell Nursing and Rehabilitation,495 New Boston Road,Fall River,2720,Southcoast,,,,Nursing home,495 new boston road,kimwell nursing and rehabilitation,,4.0,POINT (-71.13655650887603 41.7091721)
,,Southwood at Norwell Nursing Center,501 Cordwainer Drive,Norwell,2061,Metro South,,,,Nursing home,501 cordwainer drive,southwood at norwell nursing center,,6.0,POINT (-70.88149077838713 42.1647071)
,,MASSACHUSETTS VETERANS HOME AT HOLYOKE,110 Cherry Street,HOLYOKE,1040,,,,,Nursing home,110 cherry street,massachusetts veterans home at holyoke,,6.0,POINT (-72.64051021007523 42.199360299999995)
,,Commons Residence at Orchard Cove,1 Del Pond Drive,Canton,2021,Metro Boston,,,,Nursing home,1 del pond drive,commons residence at orchard cove,,9.0,POINT (-71.11330691189744 42.1709579)
,,Pleasant Bay of Brewster Rehabilitation Center,383 South Orleans Road,Brewster,2631,Cape and Islands,,,,Nursing home,383 south orleans road,pleasant bay of brewster rehabilitation center,,1.0,POINT (-70.00124453922743 41.738964949999996)
,,Whitney Place at Westborough,5 Lyman Street,Westborough,1581,Central Massachusetts,,,,Nursing home,5 lyman street,whitney place at westborough,,9.0,POINT (-71.60739107002831 42.28319786447736)
,,Care One at Essex Park,265 Essex Street,Beverly,1915,Northeastern Massachusetts,,,,Nursing home,265 essex street,care one at essex park,,6.0,POINT (-70.86168781456092 42.56513015)
,,Brandon Woods of Dartmouth,567 Dartmouth Street,Dartmouth,2748,Southcoast,,,,Nursing home,567 dartmouth street,brandon woods of dartmouth,,4.0,POINT (-70.93937914285715 41.61112)
,,Craneville Place Rehabilitation & Nursing Center,265 Main Street,Dalton,1226,Western Massachusetts,,,,Nursing home,265 main street,craneville place rehabilitation  nursing center,,1.0,POINT (-73.17745071097283 42.472932099999994)
,,The Ellis Nursing Home,135 Ellis Avenue,Norwood,2062,Metro West,,,,Nursing home,135 ellis avenue,the ellis nursing home,,10.0,POINT (-71.1867275198222 42.2071374)
,,Bear Mountain at Andover,80 Andover Street,Andover,1810,Northeastern Massachusetts,,,,Nursing home,80 andover street,bear mountain at andover,,10.0,POINT (-71.15835003183432 42.6390425)
,,Bear Hill Rehabilitation & Nursing Center,11 North Street,Stoneham,2180,Northeastern Massachusetts,,,,Nursing home,11 north street,bear hill rehabilitation  nursing center,,22.0,POINT (-71.10023035268328 42.50329135)
,,Brookhaven at Lexington,1010 Waltham Street,Lexington,2421,Northeastern Massachusetts,,,,Nursing home,1010 waltham street,brookhaven at lexington,,19.0,POINT (-71.22929265883278 42.4139392)
,,Mill Town Health and Rehabilitation,22 Maple Street,Amesbury,1913,Northeastern Massachusetts,,,,Nursing home,22 maple street,mill town health and rehabilitation,,4.0,POINT (-70.94281582407783 42.857005)
,,St. Patrick's Manor,863 Central Street,Framingham,1701,Metro West,,,,Nursing home,863 central street,st patricks manor,,7.0,POINT (-71.42849738262167 42.307556386274925)
,,Braintree Manor Healthcare,1102 Washington Street,Braintree,2184,Metro South,,,,Nursing home,1102 washington street,braintree manor healthcare,,12.0,POINT (-71.00636742974446 42.19877365)
,,Wedgemere Healthcare,146 Dean Street,Taunton,2780,Metro South,,,,Nursing home,146 dean street,wedgemere healthcare,,5.0,POINT (-71.0752596159568 41.90428012423625)
,,Linda Manor Extended Care Facility,349 Haydenville Road,Northampton,1053,Western Massachusetts,,,,Nursing home,349 haydenville road,linda manor extended care facility,,2.0,POINT (-72.69018391711995 42.3612643)
,,WILLIMANSETT CENTER EAST,11 ST ANTHONY STREET,CHICOPEE,1013,,,,,Nursing home,11 st anthony street,willimansett center east,,6.0,POINT (-72.61495050899758 42.1813162)
,,Mary's Meadow at Providence Place,12 Gamelin Street,Holyoke,1040,Western Massachusetts,,,,Nursing home,12 gamelin street,marys meadow at providence place,,6.0,POINT (-72.63670750220547 42.16279745)
,,Hathorne Hill,15 Kirkbride Drive,Danvers,1923,Northeastern Massachusetts,,,,Nursing home,15 kirkbride drive,hathorne hill,,11.0,POINT (-70.97412105000001 42.58419155)
,,Agawam West Rehab and Nursing,61 Cooper Street,Agawam,1001,Western Massachusetts,,,,Nursing home,61 cooper street,agawam west rehab and nursing,,5.0,POINT (-72.61914987322373 42.0804485)
,,Coleman House,112 West Main Street,Northborough,1532,Central Massachusetts,,,,Nursing home,112 west main street,coleman house,,7.0,POINT (-71.65097281611972 42.318559050000005)
,,AdviniaCare East Bridgewater,66 Central Street,East Bridgewater,2333,Metro South,,,,Nursing home,66 central street,adviniacare east bridgewater,,4.0,POINT (-70.9572577506426 42.03160525)
,,Bourne Manor Extended Care Facility,146 MacArthur Boulevard,Bourne,2532,Cape and Islands,,,,Nursing home,146 macarthur boulevard,bourne manor extended care facility,,3.0,POINT (-70.5857183208891 41.7346688)
,,Care One at Weymouth,64 Performance Drive,Weymouth,2189,Metro South,,,,Nursing home,64 performance drive,care one at weymouth,,9.0,POINT (-70.94257445685295 42.196492899999996)
,,Christopher House of Worcester,10 Mary Scano Drive,Worcester,1605,Central Massachusetts,,,,Nursing home,10 mary scano drive,christopher house of worcester,,6.0,POINT (-71.77776403320533 42.27503365)
,,Plymouth Harborside Healthcare,19 Obery Street,Plymouth,2360,Metro South,,,,Nursing home,19 obery street,plymouth harborside healthcare,,1.0,POINT (-70.64966444737888 41.94456995)
,,Carlyle House,342 Winter Street,Framingham,1702,Metro West,,,,Nursing home,342 winter street,carlyle house,,5.0,POINT (-71.44183724273088 42.28781055)
,,Seacoast Nursing & Rehabilitation Center,292 Washington Street,Gloucester,1930,Northeastern Massachusetts,,,,Nursing home,292 washington street,seacoast nursing  rehabilitation center,,3.0,POINT (-70.6824382785235 42.6249323)
,,Benjamin Healthcare Center,120 Fisher Avenue,Boston,2120,Metro Boston,,,,Nursing home,120 fisher avenue,benjamin healthcare center,,20.0,POINT (-71.1051603 42.3276141)
,,Courtyard Nursing Care Center,200 Governors Avenue,Medford,2155,Metro Boston,,,,Nursing home,200 governors avenue,courtyard nursing care center,,22.0,POINT (-71.1121606632448 42.42711615)
,,Madonna Manor Nursing Home,85 North Washington Street,North Attleboro,2760,Metro West,,,,Nursing home,85 north washington street,madonna manor nursing home,,3.0,POINT (-71.33190349847027 41.98443775)
,,Greenwood Nursing & Rehabilitation Center,90 Greenwood Street,Wakefield,1880,Metro Boston,,,,Nursing home,90 greenwood street,greenwood nursing  rehabilitation center,,14.0,POINT (-71.06922169005762 42.476321150000004)
,,Norwood Healthcare,460 Washington Street,Norwood,2062,Metro West,,,,Nursing home,460 washington street,norwood healthcare,,10.0,POINT (-71.19783743308759 42.198081599999995)
,,Bay Path at Duxbury Nursing & Rehabilitation Center,308 Kingstown Way,Duxbury,2332,Metro South,,,,Nursing home,308 kingstown way,bay path at duxbury nursing  rehabilitation center,,2.0,POINT (-70.73959947632582 42.030389650000004)
,,Alliance Health at Braintree,175 Grove Street,Braintree,2184,Metro South,,,,Nursing home,175 grove street,alliance health at braintree,,10.0,POINT (-70.99279579751581 42.19127375)
,,Our Island Home,9 East Creek Road,Nantucket,2554,Cape and Islands,,,,Nursing home,9 east creek road,our island home,,1.0,POINT (-70.08968865706754 41.27437465)
,,Briarwood Rehabilitation & Healthcare Center,150 Lincoln Street,Needham,2492,Metro Boston,,,,Nursing home,150 lincoln street,briarwood rehabilitation  healthcare center,,14.0,POINT (-71.23662905222776 42.2743931)
,,Care One at New Bedford,221 Fitzgerald Drive,New Bedford,2745,Southcoast,,,,Nursing home,221 fitzgerald drive,care one at new bedford,,5.0,POINT (-70.92972651619661 41.6995448)
,,Salem Rehab Center,7 Loring Hills Avenue,Salem,1970,Northeastern Massachusetts,,,,Nursing home,7 loring hills avenue,salem rehab center,,4.0,POINT (-70.90338797731044 42.48646565)
,,Whitney Place at Northborough,238 West Main Street,Northborough,1532,Central Massachusetts,,,,Nursing home,238 west main street,whitney place at northborough,,7.0,POINT (-71.65685612428547 42.31181264999999)
,,Oceanside Rehabilitation and Nursing Center,44 South Street,Rockport,1966,Northeastern Massachusetts,,,,Nursing home,44 south street,oceanside rehabilitation and nursing center,,2.0,POINT (-70.60498112267823 42.653407900000005)
,,Reservoir Center for Health & Rehabilitation,400 Bolton Street,Marlborough,1752,Metro West,,,,Nursing home,400 bolton street,reservoir center for health  rehabilitation,,7.0,POINT (-71.55290125539051 42.35966285)
,,Elizabeth Seton Residence,125 Oakland Street,Wellesley,2481,Metro Boston,,,,Nursing home,125 oakland street,elizabeth seton residence,,22.0,POINT (-71.26421651568413 42.308723900000004)
,,Blaire House of Tewksbury,10 Erlin Terrace,Tewksbury,1876,Northeastern Massachusetts,,,,Nursing home,10 erlin terrace,blaire house of tewksbury,,7.0,POINT (-71.24215126690858 42.61292480142526)
,,The Residence at AdviniaCare Northbridge,85 Beaumont Drive,Northbridge,1534,Central Massachusetts,,,,Nursing home,85 beaumont drive,the residence at adviniacare northbridge,,4.0,POINT (-71.6521339767302 42.15719035)
,,Andover Forest Post Acute Care Center,1801 Turnpike Street,North Andover,1845,Northeastern Massachusetts,,,,Nursing home,1801 turnpike street,andover forest post acute care center,,11.0,POINT (-71.0761760490546 42.6355548)
,,Nevins Nursing & Rehabilitation Center,10 Ingalls Court,Methuen,1844,Northeastern Massachusetts,,,,Nursing home,10 ingalls court,nevins nursing  rehabilitation center,,9.0,POINT (-71.18366640576636 42.720958350000004)
,,Life Care Center of Leominster,370 West Street,Leominster,1453,Central Massachusetts,,,,Nursing home,370 west street,life care center of leominster,,6.0,POINT (-71.77537115047085 42.535877150000005)
,,The Massachusetts Veterans Home at Chelsea,91 Crest Avenue,Chelsea,2150,Metro Boston,,,,Nursing home,91 crest avenue,the massachusetts veterans home at chelsea,,21.0,POINT (-71.02825427143685 42.40070565)
,,South Cove Manor at quincy Point Nursing & Rehabilitation Center,288 Washington Street,Quincy,2169,Metro South,,,,Nursing home,288 washington street,south cove manor at quincy point nursing  rehabilitation center,,10.0,POINT (-70.9902487341626 42.24983615)
,,Casa de Ramana Rehabilitation Center,485 Franklin Street,Framingham,1702,Metro West,,,,Nursing home,485 franklin street,casa de ramana rehabilitation center,,6.0,POINT (-71.42822963533669 42.290128499999994)
,,BEAUMONT REHAB & SKILLED NURS CTR,3 LYMAN STREET,WESTBOROUGH,1581,,,,,Nursing home,3 lyman street,beaumont rehab  skilled nurs ctr,,9.0,POINT (-71.6073563566761 42.28310462149245)
,,Blueberry Hill Rehabilitation & Healthcare Center,75 Brimbal Avenue,Beverly,1915,Northeastern Massachusetts,,,,Nursing home,75 brimbal avenue,blueberry hill rehabilitation  healthcare center,,7.0,POINT (-70.87108224250409 42.570099299999995)
,,Abbott Skilled Nursing and Rehabilitation Center,28 Essex Street,Lynn,1902,Northeastern Massachusetts,,,,Nursing home,28 essex street,abbott skilled nursing and rehabilitation center,,5.0,POINT (-70.9274241816419 42.47493315)
,,Country Gardens Health & Rehabilitation Center,2045 Grand Army Highway,Swansea,2777,Southcoast,,,,Nursing home,2045 grand army highway,country gardens health  rehabilitation center,,3.0,POINT (-71.2552718781545 41.76324435)
,,Belvidere Healthcare Center,500 Wentworth Avenue,Lowell,1852,Northeastern Massachusetts,,,,Nursing home,500 wentworth avenue,belvidere healthcare center,,10.0,POINT (-71.28279933079585 42.630405350000004)
,,Keystone Center,44 Keystone Drive,Leominster,1453,Central Massachusetts,,,,Nursing home,44 keystone drive,keystone center,,7.0,POINT (-71.74402465363428 42.55144955)
,,Lanessa Extended Care,751 School Street,Webster,1570,Central Massachusetts,,,,Nursing home,751 school street,lanessa extended care,,4.0,POINT (-71.88077470887096 42.036747500000004)
,,Cape Regency Rehabilitation & Health Care Center,120 South Main Street,Barnstable,2632,Cape and Islands,,,,Nursing home,120 south main street,cape regency rehabilitation  health care center,,1.0,POINT (-70.34307958148608 41.649910750000004)
,,Bear Mountain at Worcester,59 Acton Street,Worcester,1604,Central Massachusetts,,,,Nursing home,59 acton street,bear mountain at worcester,,6.0,POINT (-71.78762030382057 42.25008675)
,,Center For Extended Care at Amherst,150 University Drive,Amherst,1002,Western Massachusetts,,,,Nursing home,150 university drive,center for extended care at amherst,,2.0,POINT (-72.53247107203978 42.368937)
,,Royal Cape Cod Nursing & Rehabilitation Center,8 Lewis Point Road,Bourne,2532,Cape and Islands,,,,Nursing home,8 lewis point road,royal cape cod nursing  rehabilitation center,,3.0,POINT (-70.61079069443346 41.75846665)
,,Care One at Randolph,49 Thomas Patten Drive,Randolph,2368,Metro South,,,,Nursing home,49 thomas patten drive,care one at randolph,,12.0,POINT (-71.06107877252701 42.1594693)
,,"Royal Nursing Center, LLC",359 Jones Road,Falmouth,2540,Cape and Islands,,,,Nursing home,359 jones road,royal nursing center llc,,1.0,POINT (-70.60352436630029 41.5591273)
,,Thomas Upham House,519 Main Street,Medfield,2052,Metro West,,,,Nursing home,519 main street,thomas upham house,,5.0,POINT (-71.30745495273302 42.186209649999995)
,,Melrose Healthcare,40 Martin Street,Melrose,2176,Metro Boston,,,,Nursing home,40 martin street,melrose healthcare,,19.0,POINT (-71.07494593157304 42.457050550000005)
,,Beaumont Rehab & Skilled Nursing Natick,3 Vision Drive,Natick,1760,Metro West,,,,Nursing home,3 vision drive,beaumont rehab  skilled nursing natick,,9.0,POINT (-71.35370110550767 42.3026972)
,,Formost at Sharon LLC,259 Norwood Street,Sharon,2067,Metro West,,,,Nursing home,259 norwood street,formost at sharon llc,,9.0,POINT (-71.19701120843712 42.142070399999994)
,,Worcester Rehabilitation & Health Care Center,119 Providence Street,Worcester,1604,Central Massachusetts,,,,Nursing home,119 providence street,worcester rehabilitation  health care center,,6.0,POINT (-71.79212030621437 42.25031935)
,,Care One at Peabody,199 Andover Street,Peabody,1960,Northeastern Massachusetts,,,,Nursing home,199 andover street,care one at peabody,,10.0,POINT (-70.94190111712805 42.54430485)
,,St. Joseph Manor Health Care Inc.,215 Thatcher Street,Brockton,2302,Metro South,,,,Nursing home,215 thatcher street,st joseph manor health care inc,,4.0,POINT (-70.99660306096918 42.0740963)
,,Lakeview House Skilled Nursing & Residential Care Facility,87 Shattuck Street,Haverhill,1830,Northeastern Massachusetts,,,,Nursing home,87 shattuck street,lakeview house skilled nursing  residential care facility,,5.0,POINT (-71.05216081525802 42.796917699999995)
,,Continuing Care at Brooksby Village,400 Brooksby Village Drive,Peabody,1960,Northeastern Massachusetts,,,,Nursing home,400 brooksby village drive,continuing care at brooksby village,,10.0,POINT (-70.97276672693852 42.55186794282506)
,,Sudbury Pines Extended Care,642 Boston Post Road,Sudbury,1776,Northeastern Massachusetts,,,,Nursing home,642 boston post road,sudbury pines extended care,,5.0,POINT (-71.44123077142632 42.36142375)
,,West Roxbury Health & Rehabilitation Center,5060 Washington Street,Boston,2132,Metro Boston,,,,Nursing home,5060 washington street,west roxbury health  rehabilitation center,,18.0,POINT (-71.15254191018812 42.2649902)
,,Brookside Rehabilitation and Healthcare Center,11 Pontiac Avenue,Webster,1570,Central Massachusetts,,,,Nursing home,11 pontiac avenue,brookside rehabilitation and healthcare center,,4.0,POINT (-71.87016198711046 42.06282535)
,,Park Avenue Health Center,146 Park Avenue,Arlington,2476,Northeastern Massachusetts,,,,Nursing home,146 park avenue,park avenue health center,,19.0,POINT (-71.18246342799122 42.4214231)
,,Royal Meadow View Center,134 North Street,North Reading,1864,Northeastern Massachusetts,,,,Nursing home,134 north street,royal meadow view center,,10.0,POINT (-71.10546522083789 42.5892341)
,,Wilmington Rehab Center,90 West Street,Wilmington,1887,Northeastern Massachusetts,,,,Nursing home,90 west street,wilmington rehab center,,22.0,POINT (-71.13933791916014 42.54038775)
,,Brandon Woods of New Bedford,397 County Street,New Bedford,2740,Southcoast,,,,Nursing home,397 county street,brandon woods of new bedford,,4.0,POINT (-70.92928239809834 41.630275999999995)
,,Life Care Center of Raynham,546 South Street W,Raynham,2767,Metro South,,,,Nursing home,546 south street w,life care center of raynham,,8.0,POINT (-71.04722038264265 41.90505732719211)
,,Walpole Healthcare,160 Main Street,Walpole,2081,Metro West,,,,Nursing home,160 main street,walpole healthcare,,7.0,POINT (-71.23027591232932 42.168752850000004)
,,JML Care Center,184 Ter Heun Drive,Falmouth,2540,Cape and Islands,,,,Nursing home,184 ter heun drive,jml care center,,1.0,POINT (-70.62534898297048 41.56534135)
,,River Terrace Rehabilitation and Healthcare Center,1675 North Main Street,Lancaster,1523,Central Massachusetts,,,,Nursing home,1675 north main street,river terrace rehabilitation and healthcare center,,8.0,POINT (-71.68738270943149 42.47616035)
,,Queen Anne Nursing Home,50 Recreation Park Drive,Hingham,2043,Metro South,,,,Nursing home,50 recreation park drive,queen anne nursing home,,9.0,POINT (-70.90419664699353 42.176395)
,,Marlborough Hills Rehabiltiation & Health Care Center,121 Northboro Road East,Marlborough,1752,Metro West,,,,Nursing home,121 northboro road east,marlborough hills rehabiltiation  health care center,,7.0,POINT (-71.58749123634463 42.3420796)
,,Blaire House of Worcester,116 Houghton Street,Worcester,1604,Central Massachusetts,,,,Nursing home,116 houghton street,blaire house of worcester,,6.0,POINT (-71.78554959333533 42.24917045)
,,Bridgewater Nursing Home,16 Pleasant Street,Bridgewater,2324,Metro South,,,,Nursing home,16 pleasant street,bridgewater nursing home,,5.0,POINT (-70.97978204646246 41.98625885)
,,Hannah B. G. Shaw Home,299 Wareham Street,Middleborough,2346,Metro South,,,,Nursing home,299 wareham street,hannah b g shaw home,,4.0,POINT (-70.87205021046833 41.869165550000005)
,,Tremont Health Care Center,605 Main Street,Wareham,2571,Southcoast,,,,Nursing home,605 main street,tremont health care center,,3.0,POINT (-70.73096212925822 41.76766153042966)
,,The Hermitage Healthcare,383 Mills Street,Worcester,1602,Central Massachusetts,,,,Nursing home,383 mills street,the hermitage healthcare,,3.0,POINT (-71.85253220643622 42.2618147)
,,Fitchburg Rehabilitation and Nursing Center,94 Summer Street,Fitchburg,1420,Central Massachusetts,,,,Nursing home,94 summer street,fitchburg rehabilitation and nursing center,,4.0,POINT (-71.78584786190521 42.57835885)
,,Julian J. Levitt Family Nursing Home,770 Converse Street,Longmeadow,1106,Western Massachusetts,,,,Nursing home,770 converse street,julian j levitt family nursing home,,4.0,POINT (-72.5515544032424 42.06334497007166)
,,ALLIANCE HEALTH AT DOOLITTLE,16 BIRD STREET,FOXBOROUGH,2035,,,,,Nursing home,16 bird street,alliance health at doolittle,,7.0,POINT (-71.25007261363072 42.066344799999996)
,,Bear Mountain at West Springfield,42 Prospect Avenue,West Springfield,1089,Western Massachusetts,,,,Nursing home,42 prospect avenue,bear mountain at west springfield,,6.0,POINT (-72.63486255320161 42.1575930424662)
,,AdviniaCare Newburyport,180 Low Street,Newburyport,1950,Northeastern Massachusetts,,,,Nursing home,180 low street,adviniacare newburyport,,5.0,POINT (-70.89666045994463 42.815683050000004)
,,"Advocate Healthcare of East Boston, LLC",111 Orient Avenue,Boston,2128,Metro Boston,,,,Nursing home,111 orient avenue,advocate healthcare of east boston llc,,20.0,POINT (-71.00587148689957 42.39055278090538)
,,Jesmond Nursing Home,271 Nahant Road,Nahant,1908,Northeastern Massachusetts,,,,Nursing home,271 nahant road,jesmond nursing home,,3.0,POINT (-70.91995214383596 42.42554385)
,,Life Care Center of Nashoba Valley,191 Foster Street,Littleton,1460,Northeastern Massachusetts,,,,Nursing home,191 foster street,life care center of nashoba valley,,8.0,POINT (-71.4990646163437 42.52807325)
,,Medford Rehabilitation and Nursing Center,300 Winthrop Street,Medford,2155,Metro Boston,,,,Nursing home,300 winthrop street,medford rehabilitation and nursing center,,23.0,POINT (-71.11894021713894 42.4215023)
,,Holden Rehabilitation & Nursing Center,32 Mayo Drive,Holden,1520,Central Massachusetts,,,,Nursing home,32 mayo drive,holden rehabilitation  nursing center,,6.0,POINT (-71.85394920176213 42.3469508)
,,Life Care Center of Plymouth,94 Obery Street,Plymouth,2360,Metro South,,,,Nursing home,94 obery street,life care center of plymouth,,2.0,POINT (-70.65503160208334 41.93725)
,,Newfield House Convalescent Home,19 Newfield Street,Plymouth,2360,Metro South,,,,Nursing home,19 newfield street,newfield house convalescent home,,1.0,POINT (-70.66911711847774 41.95109785)
,,Williamstown Commons Nursing & Rehabilitation,25 Adams Road,Williamstown,1267,Western Massachusetts,,,,Nursing home,25 adams road,williamstown commons nursing  rehabilitation,,1.0,POINT (-73.18515951851253 42.7009605)
,,Wakefield Center,One Bathol Street,Wakefield,1880,Metro Boston,,,,Nursing home,one bathol street,wakefield center,,14.0,POINT (-71.07390865583827 42.474535700000004)
